(-0.365813,0.294708)
(0.290285,-0.240187)
(0.320835,0.122603)
(-0.0912539,-0.402954)
(-0.377245,-0.141296)
(0.363607,-0.414603)
(-0.354585,-0.259191)
(-0.369166,-0.165851)
(0.544713,0.270014)
(0.191911,-0.323172)
(0.480455,0.332059)
(0.232854,0.538176)
(0.414747,0.451215)
(0.157038,-0.575748)
(-0.0130844,-0.403949)
(0.155834,-0.311394)
(-0.272153,0.10278)
(-0.321517,-0.239248)
(-0.122155,0.321172)
(0.214631,0.208249)
(0.538728,0.245406)
(-0.265984,0.429521)
(-0.442742,-0.615073)
(-0.146385,0.530827)
(-0.108199,-0.455349)
(0.451436,0.21413)
(-0.646104,0.193992)
(0.449912,0.494327)
(0.579575,-0.397804)
(-0.407658,-0.456398)
(-0.570025,0.278452)
(0.162182,-0.315997)
(-0.331467,0.252123)
(-0.459574,-0.0137441)
(-0.00243619,-0.716828)
(0.120714,0.58433)
(-0.468058,-0.0744)
(0.120783,0.486987)
(0.495281,-0.538573)
(0.47494,-0.29345)
(-0.097301,-0.703437)
(0.410824,0.216963)
(0.535527,-0.0454984)
(0.389429,0.264117)
(0.395443,-0.202793)
(-0.129906,0.179425)
(-0.24844,-0.244905)
(-0.433997,-0.0148133)
(0.584009,0.100091)
(0.0992353,0.436708)
(-0.763841,0.0423241)
(0.207768,-0.520995)
(0.505247,-0.469216)
(0.0221356,0.602387)
(-0.593841,0.438944)
(-0.102856,0.458472)
(0.693152,-0.0763489)
(-0.360523,0.318767)
(-0.0176716,0.577537)
(-0.253877,0.500933)
(0.705442,0.379758)
(0.207297,0.437651)
(0.647498,0.101885)
(0.367303,0.456772)
(-0.693972,-0.365166)
(-0.372281,0.52179)
(0.558988,-0.444276)
(0.427166,0.166908)
(0.386835,0.311817)
(0.612848,-0.245138)
(-0.679941,-0.240953)
(-0.0947403,0.499069)
(-0.28475,0.452825)
(-0.0117816,-0.476953)
(0.304091,-0.0886314)
(0.46752,-0.0540422)
(0.0387715,-0.413387)
(-0.121268,0.33543)
(-0.56414,0.10259)
(0.563315,-0.0558014)
(-0.643625,0.17057)
(0.0820797,-0.667832)
(0.400824,0.534698)
(-0.5757,0.14352)
(0.504064,-0.409508)
(-0.425933,0.108984)
(0.336258,-0.104439)
(-0.174175,0.269486)
(-0.283542,0.408689)
(-0.157792,0.438232)
(-0.185849,0.435317)
(0.285537,-0.503539)
(0.374236,-0.593013)
(-0.132302,0.541839)
(0.0382905,0.467914)
(-0.0403921,0.501391)
(-0.152729,-0.717675)
(0.0815842,-0.406476)
(-0.0588892,0.58645)
(-0.416505,-0.103144)
(0.48519,-0.0837444)
(0.295911,-0.247713)
(-0.167904,0.367432)
(0.11129,-0.305381)
(-0.127268,0.149532)
(-0.186151,0.238316)
(0.284668,-0.0704473)
(0.205417,-0.0674643)
(-0.17113,-0.160625)
(0.341946,-0.0873956)
(-0.16573,0.474449)
(0.255635,-0.32145)
(-0.112457,-0.0881023)
(-0.0680751,0.315977)
(-0.234027,0.185101)
(0.153363,0.40788)
(-0.00242523,-0.420695)
(0.223949,-0.356254)
(0.129476,0.43507)
(-0.406288,0.089542)
(-0.314598,0.269081)
(-0.17857,0.293583)
(-0.0717775,-0.393461)
(0.169552,0.0710935)
(0.185381,-0.298802)
(0.650501,0.175117)
(0.659456,0.263694)
(0.18,0.40293)
(-0.744589,-0.22)
(-0.455866,0.299567)
(-0.395501,0.287958)
(-0.446226,0.125662)
(0.119284,-0.157123)
(0.113154,-0.24366)
