(1,0) (0,0) (0,0) (0,0)
 (0.0128395,-0.00597198)   (0.0525895,0.00350051)    (0.0707514,0.0783611)    (0.0288657,0.0622741)
   (0.0912399,0.0769333)   (-0.107161,-0.0551132)  (-0.0260541,-0.0830872)  (-0.0198159,-0.0878983)
   (-0.116329,-0.170501)      (0.13925,0.0209602)      (0.117442,0.161033)    (-0.0214218,0.171902)
  (0.0734072,-0.0263798)   (-0.0358552,0.0317371)    (0.0833321,0.0891774)      (0.239609,0.257795)
    (-0.595864,0.655764)    (-0.237136,-0.156221)      (-0.083532,0.19797)  (-0.0441623,0.00554581)
   (-0.198686,-0.247797)     (-0.583864,0.662767)     (0.0890633,0.145376)     (-0.04047,0.0472871)
   (0.102719,-0.0049242)     (0.203293,0.0925751)     (-0.558231,0.691525)  (-0.0327416,-0.0739832)
  (-0.0196581,0.0368248)   (0.0301415,-0.0114319)  (-0.0504149,-0.0873572)     (-0.812456,0.400576)
 (-0.0828047,0.00841644)     (0.0837129,0.099357) (-0.00010972,-0.0638194)  (-0.0127863,-0.0396726)
 (0.00405988,0.00852292)    (0.0169719,0.0221908)    (0.0182545,0.0166634) (-0.000507383,0.0689546)
 (-0.0167785,-0.0229101)    (0.0279325,0.0297233)     (0.106101,0.0867264)  (-0.00547289,0.0115499)
(-0.00182349,0.00290393)     (0.0128439,0.021553)    (0.0521023,0.0645992)  (0.00732279,-0.0370301)
    (0.0557658,0.125832)      (0.0485239,0.14486)   (-0.0508496,-0.067591)  (0.00707175,-0.0656407)
 (0.00372733,0.00521042)  (-0.0404494,-0.0348563)   (0.0497792,-0.0107061) (-0.00912685,-0.0822439)
 (0.00261221,-0.0516465)  (-0.0964645,-0.0382606)   (-0.0579083,0.0529715)    (0.0434213,0.0426336)
 (-0.0834034,-0.0879523)     (0.10358,-0.0218942)   (0.00418703,0.0308908)   (-0.00308709,0.103361)
     (0.052625,0.109197)   (-0.0228258,0.0108351)   (0.0820018,0.00208233)   (-0.0134831,-0.122558)
 (-0.0675679,-0.0684897)   (0.0510944,-0.0102662)   (0.00703819,0.0240773)  (-0.0365606,-0.0276536)
   (0.0513409,0.0646558) (-0.0297329,-0.00380515)  (-0.0889781,-0.0786831)     (0.0484135,0.110795)
   (-0.080774,-0.102869)     (0.119002,0.0396721)      (0.136369,0.183199)    (-0.032165,0.0788562)
 (-0.0488347,-0.0853253)  (0.0124568,-0.00157387)    (0.0589635,0.0208096)      (0.153876,0.265551)
    (-0.209633,0.850175)   (-0.344288,-0.0650104)     (-0.058076,0.225653)    (-0.130363,0.0107383)
   (-0.370254,-0.133115)     (-0.223696,0.803988)      (0.21539,0.0857645)   (-0.0508329,0.0642448)
   (0.0343816,-0.081936)     (0.325737,0.0377887)     (-0.262159,0.841265)   (-0.108128,-0.0819961)
  (-0.0796303,0.0628445) (0.000430325,-0.0976981)    (-0.151248,-0.126028)     (-0.487674,0.738572)
